id,context,english
clues.a-wrong-between-people.name,"Clue name, shown in the journal and on the opportunity",[A Wrong Between People]
clues.a-wrong-between-people.prompt,Opportunity text shown before this clue is taken,[The settlement talks around something the way a tongue works at a broken tooth.]
clues.a-wrong-between-people.reveal,Journal and event-log text once this clue is revealed,"[It started with people, not omens: an arrangement, and someone on the wrong end of it. Whether that was a grudge taken up or a bargain put down, the gossip cannot agree.]"
clues.bodies-turning-up.name,"Clue name, shown in the journal and on the opportunity",[Bodies Turning Up]
clues.bodies-turning-up.prompt,Opportunity text shown before this clue is taken,[There is a body's worth of blood here and the ground has been worked over.]
clues.bodies-turning-up.reveal,Journal and event-log text once this clue is revealed,"[Somebody died badly on this spot. Whether they were killed to be seen, or killed for what could be taken from them, the ground will not say.]"
clues.cold-iron-lore.name,"Clue name, shown in the journal and on the opportunity",[The Iron Rule]
clues.cold-iron-lore.prompt,Opportunity text shown before this clue is taken,"[The old women have a rule about workings, and they will recite it for the asking.]"
clues.cold-iron-lore.reveal,Journal and event-log text once this clue is revealed,"['Nothing that ever saw the forge fire,' says Mother Wren. 'Cold iron, straight out the bog, never smelted. A hex has to get hold of a thing, and it can get no hold on that.']"
clues.den-tracks.name,"Clue name, shown in the journal and on the opportunity",[The Den]
clues.den-tracks.prompt,Opportunity text shown before this clue is taken,[Old kills litter the undergrowth. Something beds down near here.]
clues.den-tracks.reveal,Journal and event-log text once this clue is revealed,[You find the den: a hollow of cracked bones. The beast returns here when the settlement is too watchful.]
clues.grave-shadow.name,"Clue name, shown in the journal and on the opportunity",[The Shroud of Grave-Shadow]
clues.grave-shadow.prompt,Opportunity text shown before this clue is taken,"[The killing blows here fell strangely — some bit deep, most seem not to have landed at all.]"
clues.grave-shadow.reveal,Journal and event-log text once this clue is revealed,"[Blows that pass through without wounding, then one that tears. That is grave-shadow thinning and closing: the risen dead's rhythm, not a beast's and not a hex.]"
clues.gravediggers-map.name,"Clue name, shown in the journal and on the opportunity",[The Gravedigger's Knowledge]
clues.gravediggers-map.prompt,Opportunity text shown before this clue is taken,[Nobody knows the ground here better than the one who digs it.]
clues.gravediggers-map.reveal,Journal and event-log text once this clue is revealed,[He walks you the rows and points without looking: '{grave}. That one. Do what you came to do.']
clues.herbwifes-tip.name,"Clue name, shown in the journal and on the opportunity",[The Herbwife's Tip]
clues.herbwifes-tip.prompt,Opportunity text shown before this clue is taken,[The old women trade remedies at the market stall.]
clues.herbwifes-tip.reveal,Journal and event-log text once this clue is revealed,[They tell you where moon-herb and bitter-root grow thick: the clearings off the forest trail.]
